"filename", "language", "JavaScript", "JSON", "JavaScript JSX", "HTML", "SCSS", "XML", "comment", "blank", "total"
"c:\Users\guymo\Desktop\Dev\Projects\Instagram\Frontend\src\cmps\Modal.jsx", "JavaScript JSX", 0, 0, 14, 0, 0, 0, 0, 2, 16
"c:\Users\guymo\Desktop\Dev\Projects\Instagram\Frontend\src\cmps\Notifications.jsx", "JavaScript JSX", 0, 0, 83, 0, 0, 0, 0, 16, 99
"c:\Users\guymo\Desktop\Dev\Projects\Instagram\Frontend\src\cmps\Post.jsx", "JavaScript JSX", 0, 0, 111, 0, 0, 0, 0, 18, 129
"c:\Users\guymo\Desktop\Dev\Projects\Instagram\Frontend\src\cmps\PostModal.jsx", "JavaScript JSX", 0, 0, 157, 0, 0, 0, 1, 23, 181
"c:\Users\guymo\Desktop\Dev\Projects\Instagram\Frontend\src\cmps\Search.jsx", "JavaScript JSX", 0, 0, 70, 0, 0, 0, 0, 11, 81
"c:\Users\guymo\Desktop\Dev\Projects\Instagram\Frontend\src\cmps\SideBar.jsx", "JavaScript JSX", 0, 0, 84, 0, 0, 0, 0, 7, 91
"c:\Users\guymo\Desktop\Dev\Projects\Instagram\Frontend\src\cmps\UserBar.jsx", "JavaScript JSX", 0, 0, 57, 0, 0, 0, 0, 10, 67
"c:\Users\guymo\Desktop\Dev\Projects\Instagram\Frontend\src\cmps\UserMenu.jsx", "JavaScript JSX", 0, 0, 19, 0, 0, 0, 0, 5, 24
"c:\Users\guymo\Desktop\Dev\Projects\Instagram\Frontend\src\cmps\UserModal.jsx", "JavaScript JSX", 0, 0, 86, 0, 0, 0, 0, 14, 100
"c:\Users\guymo\Desktop\Dev\Projects\Instagram\Frontend\src\pages\Explore.jsx", "JavaScript JSX", 0, 0, 23, 0, 0, 0, 0, 7, 30
"c:\Users\guymo\Desktop\Dev\Projects\Instagram\Frontend\src\pages\Home.jsx", "JavaScript JSX", 0, 0, 55, 0, 0, 0, 6, 11, 72
"c:\Users\guymo\Desktop\Dev\Projects\Instagram\Frontend\src\pages\LoginSignup.jsx", "JavaScript JSX", 0, 0, 69, 0, 0, 0, 1, 10, 80
"c:\Users\guymo\Desktop\Dev\Projects\Instagram\Frontend\src\pages\Messenger.jsx", "JavaScript JSX", 0, 0, 132, 0, 0, 0, 2, 26, 160
"c:\Users\guymo\Desktop\Dev\Projects\Instagram\Frontend\src\pages\UserPage.jsx", "JavaScript JSX", 0, 0, 140, 0, 0, 0, 1, 18, 159
